# Datos completos BTCUSDT interval=5m total=1000
# openTime(utc), open, high, low, close, volume, closeTime(utc), trades
2025-10-25 03:20:00,111136.64000000,111136.65000000,111060.00000000,111060.21000000,40.38835000,2025-10-25 03:24:59,5089
2025-10-25 03:25:00,111060.22000000,111089.05000000,111060.21000000,111089.04000000,16.75382000,2025-10-25 03:29:59,1851
2025-10-25 03:30:00,111089.05000000,111115.59000000,111085.22000000,111085.23000000,28.91802000,2025-10-25 03:34:59,2825
2025-10-25 03:35:00,111085.23000000,111100.00000000,111047.08000000,111063.32000000,21.51295000,2025-10-25 03:39:59,2901
2025-10-25 03:40:00,111063.32000000,111095.26000000,111058.87000000,111095.26000000,19.19630000,2025-10-25 03:44:59,2645
2025-10-25 03:45:00,111095.26000000,111095.26000000,111030.97000000,111071.62000000,36.32237000,2025-10-25 03:49:59,2909
2025-10-25 03:50:00,111071.63000000,111079.98000000,110998.21000000,110998.21000000,17.05177000,2025-10-25 03:54:59,3161
2025-10-25 03:55:00,110998.21000000,111042.29000000,110998.21000000,111029.99000000,11.62353000,2025-10-25 03:59:59,1998
2025-10-25 04:00:00,111029.99000000,111058.32000000,111029.99000000,111058.32000000,14.07987000,2025-10-25 04:04:59,2291
2025-10-25 04:05:00,111058.32000000,111142.64000000,111058.31000000,111142.63000000,27.09307000,2025-10-25 04:09:59,4454
2025-10-25 04:10:00,111142.64000000,111200.00000000,111110.52000000,111199.99000000,26.59016000,2025-10-25 04:14:59,2564
2025-10-25 04:15:00,111200.00000000,111458.81000000,111186.15000000,111421.74000000,172.50973000,2025-10-25 04:19:59,12557
2025-10-25 04:20:00,111421.75000000,111421.75000000,111323.81000000,111376.26000000,38.08886000,2025-10-25 04:24:59,6773
2025-10-25 04:25:00,111376.26000000,111376.27000000,111304.52000000,111305.84000000,23.44215000,2025-10-25 04:29:59,4377
2025-10-25 04:30:00,111305.83000000,111305.84000000,111245.97000000,111279.29000000,18.75993000,2025-10-25 04:34:59,4743
2025-10-25 04:35:00,111279.28000000,111338.00000000,111279.28000000,111338.00000000,15.44519000,2025-10-25 04:39:59,2556
2025-10-25 04:40:00,111337.99000000,111370.00000000,111290.46000000,111290.46000000,26.17065000,2025-10-25 04:44:59,4932
2025-10-25 04:45:00,111290.46000000,111309.16000000,111286.00000000,111301.95000000,13.83253000,2025-10-25 04:49:59,2762
2025-10-25 04:50:00,111301.96000000,111309.28000000,111283.86000000,111304.94000000,15.88470000,2025-10-25 04:54:59,3260
2025-10-25 04:55:00,111304.93000000,111304.94000000,111228.00000000,111228.00000000,19.11622000,2025-10-25 04:59:59,3578
2025-10-25 05:00:00,111228.00000000,111228.01000000,111153.03000000,111179.92000000,17.06410000,2025-10-25 05:04:59,3563
